territory_id,pair_id,reef_location,fish_id,fish_no,fertilizer_trt,total_length,standard_length,total_body_weight,gutted_body_weight,liver_weight,gonad_weight,sex,intestine_length,intestine_diameter_1,intestine_diameter_2,intestine_diameter_3,intestine_diameter_4,intestine_diameter_5,intestine_diameter_6,intestine_diameter_7,intestine_diameter_8,intestine_diameter_9,intestine_diameter_10,mean_intestine_diameter,intestinal_surface_area,gut_fullness_index,gonadosomatic_index,hepatosomatic_index,body_condition_factor
24,L-Fringing,Fringing,24-1,1,Y,10.2,7.4,25.7,23,0.0562,0.0927,M,19.4,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.28,34.13026259,11.09173913,0.403043478,0.244347826,2.167341369
57,N-Backreef,Backreef,57-1,1,Y,13.6,10.5,79.1,73.7,0.3621,0.2987,M,33.2,0.5,0.5,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.44,91.78477097,6.430393487,0.405291723,0.491316147,2.929886271
33,B-Backreef,Backreef,33-2,2,Y,13.7,11.2,66.6,61.4,0.126,0.2586,M,34.6,0.3,0.2,0.3,0.4,0.2,0.5,0.4,0.2,0.6,0.4,0.35,76.08937407,7.84267101,0.421172638,0.205211726,2.387847954
42,F-Backreef,Backreef,42-1,1,Y,13,10.1,65.3,59.4,0.341,0.2528,F,43.3,0.4,0.3,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,108.8247695,8.932996633,0.425589226,0.574074074,2.703686846
10,E-Fringing,Fringing,1-Oct,1,Y,11.9,8.5,42.8,38.2,0.115,0.1627,M,28.8,0.2,0.3,0.3,0.1,0.3,0.3,0.3,0.4,0.4,0.5,0.31,56.09627842,11.31492147,0.42591623,0.30104712,2.26684841
31,A-Backreef,Backreef,31-1,1,N,13.2,10.1,65.9,61.5,0.2312,0.2774,F,22.6,0.4,0.3,0.4,0.4,0.5,0.2,0.3,0.2,0.4,0.5,0.36,51.11999566,6.327479675,0.451056911,0.375934959,2.673950246
10,E-Fringing,Fringing,2-Oct,2,Y,12.1,8.8,57.8,51.3,0.2202,0.2412,M,31.9,0.2,0.2,0.3,0.3,0.1,0.3,0.4,0.4,0.5,0.5,0.32,64.13875562,11.7711501,0.470175439,0.429239766,2.895751261
11,F-Fringing,Fringing,5-Nov,5,Y,11.8,8.5,41.5,37.3,0.1962,0.1785,M,31.9,0.4,0.4,0.5,0.2,0.5,0.5,0.4,0.3,0.4,0.4,0.4,80.17344452,10.25549598,0.478552279,0.526005362,2.270193155
31,A-Backreef,Backreef,31-2,2,N,13.1,9.5,59,54.8,0.1875,0.27,F,32.3,0.3,0.2,0.2,0.4,0.5,0.2,0.3,0.2,0.2,0.4,0.29,58.85459677,6.829379562,0.49270073,0.342153285,2.437623744
46,H-Backreef,Backreef,46-2,2,Y,13.2,10,60.4,53,0.2363,0.27,F,35.7,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.48,107.6686634,13.00698113,0.509433962,0.445849057,2.304379887
